source,title,url,category,dotw,year,month,day,words,links,imgs,tweet_time,retweets,local_tweet_time,offset_hours
infosthetics,"The Feltron Biennial Report of 2010 and 2011",http://infosthetics.com/archives/2012/02/the_feltron_annual_report_of_2010_and_2011.html,collection,Wednesday,2012,02,29,220,10,1,2012-02-29 16:13:35 UTC,0,2012-02-29 17:13:35 +0100,1
infosthetics,"Everywhere I've Been: Mapping 3 Years Worth of Location Tracking",http://infosthetics.com/archives/2012/03/everywhere_ive_been_mapping_3_years_worth_of_location_tracking.html,lifelogging,Tuesday,2012,03,13,171,9,1,2012-03-13 10:11:54 UTC,8,2012-03-13 11:11:54 +0100,1
infosthetics,"Visual.ly Debutes more Tools for the Automatic Creation of Infographics",http://infosthetics.com/archives/2012/03/visually_debutes_more_tools_for_the_automatic_creation_of_infographics.html,infographic,Tuesday,2012,03,13,271,9,1,2012-03-13 10:50:02 UTC,4,2012-03-13 11:50:02 +0100,1
infosthetics,"Diagrammer: Buy PowerPoint-Ready Diagrams for $0.99 a Piece",http://infosthetics.com/archives/2012/03/diagrammer_buy_powerpoint-ready_diagrams_for_099_a_piece.html,infographic,Thursday,2012,03,15,129,5,1,,,,
infosthetics,"Comparing How Countries Rank in Low-Carbon Competitiveness",http://infosthetics.com/archives/2012/03/comparing_how_countries_rank_in_low_carbon_competitiveness.html,collection,Monday,2012,03,19,128,2,1,2012-03-19 19:45:20 UTC,3,2012-03-19 20:45:20 +0100,1
infosthetics,"Showing Where Tweets Actually 'Go' in 3D",http://infosthetics.com/archives/2012/03/showing_where_tweets_actually_go_in_3d.html,collection,Tuesday,2012,03,20,105,3,1,2012-03-19 23:28:26 UTC,8,2012-03-20 00:28:26 +0100,1
infosthetics,"Visualizing the State of Democracy in 7 Countries",http://infosthetics.com/archives/2012/03/visualizing_the_state_of_democracy.html,guest blog,Wednesday,2012,03,21,179,6,1,,,,
infosthetics,"Telling the History of GE through 6,000 Pages of Annual Reports",http://infosthetics.com/archives/2012/03/telling_the_history_of_ge_through_6000_pages_of_annual_reports.html,collection,Friday,2012,03,23,98,3,1,2012-03-23 10:12:03 UTC,3,2012-03-23 11:12:03 +0100,1
infosthetics,"Displaying Changes in Groundwater Levels on Time Square Media Screens",http://infosthetics.com/archives/2012/03/displaying_changes_in_groundwater_levels_at_time_square_media_screens.html,architecture,Sunday,2012,03,25,115,6,1,2012-03-26 07:50:07 UTC,1,2012-03-26 09:50:07 +0200,2
infosthetics,"NASA Perpetual Ocean: The Ocean Surface Currents around the World",http://infosthetics.com/archives/2012/03/nasa_perpetual_ocean_the_ocean_surface_currents_around_the_world.html,art,Tuesday,2012,03,27,121,4,1,2012-03-27 09:29:45 UTC,2,2012-03-27 11:29:45 +0200,2
infosthetics,"Graphic World: 3D Infographics Projected in NY Grand Central Terminal",http://infosthetics.com/archives/2012/03/graphic_world_3d_infographics_projected_in_ny_grand_central_terminal.html,architecture,Wednesday,2012,03,28,176,5,1,2012-03-28 18:20:26 UTC,4,2012-03-28 20:20:26 +0200,2
infosthetics,"Wind Map: Revealing the Traces of Wind Flowing over the U.S. in Real-Time",http://infosthetics.com/archives/2012/03/wind_map_revealing_the_traces_of_wind_flowing_over_the_us_in_real-time.html,art,Wednesday,2012,03,28,138,5,1,2012-03-28 18:38:19 UTC,3,2012-03-28 20:38:19 +0200,2
infosthetics,"National Heat Map Shows Heat Demand from Buildings",http://infosthetics.com/archives/2012/03/national_heat_map_shows_heat_demand_from_buildings.html,architecture,Thursday,2012,03,29,143,6,1,2012-03-29 08:41:03 UTC,3,2012-03-29 10:41:03 +0200,2
